epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7887,2.33974,4.35284,1.58291,0.00601,0.44404,0.00498,0.00283,1.53131,3.76418,1.11939,6.668e-05,6.668e-05,6.668e-05
2,26.8474,1.59793,3.79881,1.13651,0.01292,0.97674,0.01756,0.00973,1.40129,3.62642,0.98668,0.000148545,0.000148545,0.000148545
3,39.7112,1.37194,2.79731,0.99552,0.0131,1,0.02904,0.01756,1.07999,3.30819,0.91023,0.000228759,0.000228759,0.000228759
4,52.5714,1.24801,1.8587,0.96068,0.01291,0.98438,0.37377,0.25408,1.02605,3.10563,0.89365,0.000307323,0.000307323,0.000307323
5,65.2577,1.19611,1.71719,0.92619,0.01275,0.97275,0.19229,0.14908,0.97782,3.13803,0.88275,0.000384237,0.000384237,0.000384237
6,77.7449,1.19805,1.60532,0.94671,0.01297,0.98837,0.24885,0.1854,1.04728,3.11825,0.90345,0.0004595,0.0004595,0.0004595
7,90.3905,1.10193,1.24186,0.96058,0.01328,0.98837,0.15684,0.10907,0.95548,3.09553,0.89739,0.000533113,0.000533113,0.000533113
8,103.148,1.12514,1.15668,0.9525,0.01371,0.98837,0.16995,0.1184,0.98346,3.1205,0.90333,0.000605076,0.000605076,0.000605076
9,115.764,1.10825,1.14866,0.95605,0.01426,0.98837,0.33897,0.22941,1.13139,3.06565,0.93523,0.000675388,0.000675388,0.000675388
10,128.297,1.10029,1.05186,0.96652,0.01429,1,0.64466,0.42884,1.1203,2.92414,0.95716,0.00074405,0.00074405,0.00074405
11,140.96,1.08912,0.98739,0.94206,0.01495,1,0.57295,0.3964,1.09306,2.96206,0.94686,0.000811062,0.000811062,0.000811062
12,153.661,1.04318,0.93831,0.93633,0.01454,0.98837,0.76046,0.53783,1.08527,2.80037,0.95762,0.000876424,0.000876424,0.000876424
13,166.363,1.09298,0.98155,0.93775,0.02345,1,0.92806,0.6714,0.99643,2.68537,0.93246,0.000940135,0.000940135,0.000940135
14,178.95,0.9785,0.91699,0.9509,1,0.11985,0.94676,0.68729,1.02709,2.58311,0.93637,0.0010022,0.0010022,0.0010022
15,191.335,1.02507,0.87705,0.9309,1,0.33712,0.96538,0.69093,1.05176,2.26596,0.94807,0.00106261,0.00106261,0.00106261
16,204.077,1.00931,0.84092,0.90486,1,0.48395,0.98373,0.71436,1.0371,2.11094,0.94312,0.00112137,0.00112137,0.00112137
17,216.736,1.0469,0.89108,0.91612,1,0.71226,0.98463,0.72535,1.01742,1.94263,0.9194,0.00117848,0.00117848,0.00117848
18,229.401,0.96674,0.83254,0.90593,1,0.83844,0.99327,0.71354,1.03401,1.67256,0.92493,0.00123394,0.00123394,0.00123394
19,241.964,0.97308,0.81083,0.90589,0.99793,0.81635,0.98508,0.73055,1.01018,1.55934,0.9175,0.00128774,0.00128774,0.00128774
20,254.587,0.98677,0.80279,0.92735,0.99676,0.97472,0.99378,0.71137,1.03131,1.43169,0.92014,0.0013399,0.0013399,0.0013399
21,267.302,0.99955,0.79722,0.90305,0.98717,0.97275,0.99315,0.7194,1.04096,1.35348,0.92364,0.00133693,0.00133693,0.00133693
22,280.017,0.91303,0.80506,0.90102,0.99456,0.98159,0.99456,0.70994,1.00411,1.30597,0.91261,0.00132043,0.00132043,0.00132043
23,292.968,0.9639,0.77876,0.90157,0.99659,0.99487,0.995,0.72123,1.009,1.23229,0.922,0.00130393,0.00130393,0.00130393
24,305.72,0.88011,0.74773,0.89761,0.99205,0.98837,0.99456,0.73706,0.98056,1.09145,0.91771,0.00128742,0.00128742,0.00128742
25,318.362,0.97087,0.77728,0.90565,0.99392,0.98837,0.99477,0.72004,1.02565,1.13965,0.93493,0.00127092,0.00127092,0.00127092
26,331.064,0.92495,0.77756,0.88844,0.99713,0.99727,0.995,0.71438,1.01146,1.10953,0.9289,0.00125442,0.00125442,0.00125442
27,343.871,0.96037,0.76167,0.91562,0.99455,0.99464,0.995,0.72736,0.98646,0.94631,0.91641,0.00123791,0.00123791,0.00123791
28,356.522,0.92944,0.71906,0.89041,0.9872,0.99438,0.995,0.74243,1.01678,0.80797,0.93674,0.00122141,0.00122141,0.00122141
29,369.284,0.97116,0.73872,0.91548,0.98711,0.99365,0.995,0.74105,0.99722,0.82448,0.92504,0.00120491,0.00120491,0.00120491
30,381.948,0.89442,0.72407,0.88013,0.98711,0.99376,0.995,0.75439,0.96168,0.84795,0.90356,0.0011884,0.0011884,0.0011884
31,394.523,0.93414,0.72109,0.90066,0.9912,0.9952,0.995,0.75001,0.97869,0.79742,0.91433,0.0011719,0.0011719,0.0011719
32,407.47,0.94638,0.71927,0.90897,0.99823,0.98819,0.99477,0.73025,1.00173,0.68442,0.93238,0.0011554,0.0011554,0.0011554
33,420.153,0.9413,0.70238,0.90033,0.99743,0.98837,0.99477,0.72003,1.00089,0.68118,0.92601,0.00113889,0.00113889,0.00113889
34,432.918,0.92756,0.66864,0.88653,0.99673,0.98837,0.99477,0.73835,0.97348,0.67564,0.91917,0.00112239,0.00112239,0.00112239
